name,id,height,base_experience,pokemon_species_id,weight,hp,attack,defense,special-attack,special-defense,speed,evolution_chain_id,evolves_from_species_id,gender_rate,has_gender_differences,is_baby,is_legendary,is_mythical,capture_rate,base_happiness,hatch_counter,growth_rate,generation_name,habitat_name,type_name_1,type_name_2
kakuna,14,6,72,14,100,45,25,50,25,25,35,5,13,4,False,False,False,False,120,70,15,medium,generation-i,forest,bug,poison
beedrill,15,10,178,15,295,65,90,40,45,80,75,5,14,4,False,False,False,False,45,70,15,medium,generation-i,forest,bug,poison
pidgey,16,3,50,16,18,40,45,40,35,35,56,6,,4,False,False,False,False,255,70,15,medium-slow,generation-i,forest,normal,flying
pidgeotto,17,11,122,17,300,63,60,55,50,50,71,6,16,4,False,False,False,False,120,70,15,medium-slow,generation-i,forest,normal,flying
pidgeot,18,15,216,18,395,83,80,75,70,70,101,6,17,4,False,False,False,False,45,70,15,medium-slow,generation-i,forest,normal,flying
rattata,19,3,51,19,35,30,56,35,25,35,72,7,,4,True,False,False,False,255,70,15,medium,generation-i,grassland,normal,
raticate,20,7,145,20,185,55,81,60,50,70,97,7,19,4,True,False,False,False,127,70,15,medium,generation-i,grassland,normal,
spearow,21,3,52,21,20,40,60,30,31,31,70,8,,4,False,False,False,False,255,70,15,medium,generation-i,rough-terrain,normal,flying
fearow,22,12,155,22,380,65,90,65,61,61,100,8,21,4,False,False,False,False,90,70,15,medium,generation-i,rough-terrain,normal,flying
ekans,23,20,58,23,69,35,60,44,40,54,55,9,,4,False,False,False,False,255,70,20,medium,generation-i,grassland,poison,
arbok,24,35,157,24,650,60,95,69,65,79,80,9,23,4,False,False,False,False,90,70,20,medium,generation-i,grassland,poison,
pikachu,25,4,112,25,60,35,55,40,50,50,90,10,172,4,True,False,False,False,190,50,10,medium,generation-i,forest,electric,
raichu,26,8,243,26,300,60,90,55,90,80,110,10,25,4,True,False,False,False,75,50,10,medium,generation-i,forest,electric,
sandshrew,27,6,60,27,120,50,75,85,20,30,40,11,,4,False,False,False,False,255,50,20,medium,generation-i,rough-terrain,ground,
sandslash,28,10,158,28,295,75,100,110,45,55,65,11,27,4,False,False,False,False,90,50,20,medium,generation-i,rough-terrain,ground,
nidoran-f,29,4,55,29,70,55,47,52,40,40,41,12,,8,False,False,False,False,235,50,20,medium-slow,generation-i,grassland,poison,
nidorina,30,8,128,30,200,70,62,67,55,55,56,12,29,8,False,False,False,False,120,50,20,medium-slow,generation-i,grassland,poison,
nidoqueen,31,13,253,31,600,90,92,87,75,85,76,12,30,8,False,False,False,False,45,50,20,medium-slow,generation-i,grassland,poison,ground
nidoran-m,32,5,55,32,90,46,57,40,40,40,50,13,,0,False,False,False,False,235,50,20,medium-slow,generation-i,grassland,poison,
nidorino,33,9,128,33,195,61,72,57,55,55,65,13,32,0,False,False,False,False,120,50,20,medium-slow,generation-i,grassland,poison,
nidoking,34,14,253,34,620,81,102,77,85,75,85,13,33,0,False,False,False,False,45,50,20,medium-slow,generation-i,grassland,poison,ground
clefairy,35,6,113,35,75,70,45,48,60,65,35,14,173,6,False,False,False,False,150,140,10,fast,generation-i,mountain,fairy,
clefable,36,13,242,36,400,95,70,73,95,90,60,14,35,6,False,False,False,False,25,140,10,fast,generation-i,mountain,fairy,
vulpix,37,6,60,37,99,38,41,40,50,65,65,15,,6,False,False,False,False,190,50,20,medium,generation-i,grassland,fire,
ninetales,38,11,177,38,199,73,76,75,81,100,100,15,37,6,False,False,False,False,75,50,20,medium,generation-i,grassland,fire,
jigglypuff,39,5,95,39,55,115,45,20,45,25,20,16,174,6,False,False,False,False,170,50,10,fast,generation-i,grassland,normal,fairy
wigglytuff,40,10,218,40,120,140,70,45,85,50,45,16,39,6,False,False,False,False,50,50,10,fast,generation-i,grassland,normal,fairy
zubat,41,8,49,41,75,40,45,35,30,40,55,17,,4,True,False,False,False,255,50,15,medium,generation-i,cave,poison,flying
golbat,42,16,159,42,550,75,80,70,65,75,90,17,41,4,True,False,False,False,90,50,15,medium,generation-i,cave,poison,flying
oddish,43,5,64,43,54,45,50,55,75,65,30,18,,4,False,False,False,False,255,50,20,medium-slow,generation-i,grassland,grass,poison
gloom,44,8,138,44,86,60,65,70,85,75,40,18,43,4,True,False,False,False,120,50,20,medium-slow,generation-i,grassland,grass,poison
vileplume,45,12,245,45,186,75,80,85,110,90,50,18,44,4,True,False,False,False,45,50,20,medium-slow,generation-i,grassland,grass,poison
paras,46,3,57,46,54,35,70,55,45,55,25,19,,4,False,False,False,False,190,70,20,medium,generation-i,forest,bug,grass
parasect,47,10,142,47,295,60,95,80,60,80,30,19,46,4,False,False,False,False,75,70,20,medium,generation-i,forest,bug,grass
venonat,48,10,61,48,300,60,55,50,40,55,45,20,,4,False,False,False,False,190,70,20,medium,generation-i,forest,bug,poison
venomoth,49,15,158,49,125,70,65,60,90,75,90,20,48,4,False,False,False,False,75,70,20,medium,generation-i,forest,bug,poison
diglett,50,2,53,50,8,10,55,25,35,45,95,21,,4,False,False,False,False,255,50,20,medium,generation-i,cave,ground,
dugtrio,51,7,149,51,333,35,100,50,50,70,120,21,50,4,False,False,False,False,50,50,20,medium,generation-i,cave,ground,
meowth,52,4,58,52,42,40,45,35,40,40,90,22,,4,False,False,False,False,255,50,20,medium,generation-i,urban,normal,
persian,53,10,154,53,320,65,70,60,65,65,115,22,52,4,False,False,False,False,90,50,20,medium,generation-i,urban,normal,
psyduck,54,8,64,54,196,50,52,48,65,50,55,23,,4,False,False,False,False,190,50,20,medium,generation-i,waters-edge,water,
golduck,55,17,175,55,766,80,82,78,95,80,85,23,54,4,False,False,False,False,75,50,20,medium,generation-i,waters-edge,water,
mankey,56,5,61,56,280,40,80,35,35,45,70,24,,4,False,False,False,False,190,70,20,medium,generation-i,mountain,fighting,
primeape,57,10,159,57,320,65,105,60,60,70,95,24,56,4,False,False,False,False,75,70,20,medium,generation-i,mountain,fighting,
growlithe,58,7,70,58,190,55,70,45,70,50,60,25,,2,False,False,False,False,190,50,20,slow,generation-i,grassland,fire,
arcanine,59,19,194,59,1550,90,110,80,100,80,95,25,58,2,False,False,False,False,75,50,20,slow,generation-i,grassland,fire,
poliwag,60,6,60,60,124,40,50,40,40,40,90,26,,4,False,False,False,False,255,50,20,medium-slow,generation-i,waters-edge,water,
poliwhirl,61,10,135,61,200,65,65,65,50,50,90,26,60,4,False,False,False,False,120,50,20,medium-slow,generation-i,waters-edge,water,
poliwrath,62,13,255,62,540,90,95,95,70,90,70,26,61,4,False,False,False,False,45,50,20,medium-slow,generation-i,waters-edge,water,fighting
abra,63,9,62,63,195,25,20,15,105,55,90,27,,2,False,False,False,False,200,50,20,medium-slow,generation-i,urban,psychic,
kadabra,64,13,140,64,565,40,35,30,120,70,105,27,63,2,True,False,False,False,100,50,20,medium-slow,generation-i,urban,psychic,
alakazam,65,15,250,65,480,55,50,45,135,95,120,27,64,2,True,False,False,False,50,50,20,medium-slow,generation-i,urban,psychic,
machop,66,8,61,66,195,70,80,50,35,35,35,28,,2,False,False,False,False,180,50,20,medium-slow,generation-i,mountain,fighting,
machoke,67,15,142,67,705,80,100,70,50,60,45,28,66,2,False,False,False,False,90,50,20,medium-slow,generation-i,mountain,fighting,
machamp,68,16,253,68,1300,90,130,80,65,85,55,28,67,2,False,False,False,False,45,50,20,medium-slow,generation-i,mountain,fighting,
bellsprout,69,7,60,69,40,50,75,35,70,30,40,29,,4,False,False,False,False,255,70,20,medium-slow,generation-i,forest,grass,poison
weepinbell,70,10,137,70,64,65,90,50,85,45,55,29,69,4,False,False,False,False,120,70,20,medium-slow,generation-i,forest,grass,poison
victreebel,71,17,221,71,155,80,105,65,100,70,70,29,70,4,False,False,False,False,45,70,20,medium-slow,generation-i,forest,grass,poison
tentacool,72,9,67,72,455,40,40,35,50,100,70,30,,4,False,False,False,False,190,50,20,slow,generation-i,sea,water,poison
tentacruel,73,16,180,73,550,80,70,65,80,120,100,30,72,4,False,False,False,False,60,50,20,slow,generation-i,sea,water,poison
geodude,74,4,60,74,200,40,80,100,30,30,20,31,,4,False,False,False,False,255,70,15,medium-slow,generation-i,mountain,rock,ground
graveler,75,10,137,75,1050,55,95,115,45,45,35,31,74,4,False,False,False,False,120,70,15,medium-slow,generation-i,mountain,rock,ground
golem,76,14,223,76,3000,80,120,130,55,65,45,31,75,4,False,False,False,False,45,70,15,medium-slow,generation-i,mountain,rock,ground
ponyta,77,10,82,77,300,50,85,55,65,65,90,32,,4,False,False,False,False,190,50,20,medium,generation-i,grassland,fire,
rapidash,78,17,175,78,950,65,100,70,80,80,105,32,77,4,False,False,False,False,60,50,20,medium,generation-i,grassland,fire,
slowpoke,79,12,63,79,360,90,65,65,40,40,15,33,,4,False,False,False,False,190,50,20,medium,generation-i,waters-edge,water,psychic
slowbro,80,16,172,80,785,95,75,110,100,80,30,33,79,4,False,False,False,False,75,50,20,medium,generation-i,waters-edge,water,psychic
magnemite,81,3,65,81,60,25,35,70,95,55,45,34,,-1,False,False,False,False,190,50,20,medium,generation-i,rough-terrain,electric,steel
magneton,82,10,163,82,600,50,60,95,120,70,70,34,81,-1,False,False,False,False,60,50,20,medium,generation-i,rough-terrain,electric,steel
farfetchd,83,8,132,83,150,52,90,55,58,62,60,35,,4,False,False,False,False,45,50,20,medium,generation-i,grassland,normal,flying
doduo,84,14,62,84,392,35,85,45,35,35,75,36,,4,True,False,False,False,190,70,20,medium,generation-i,grassland,normal,flying
dodrio,85,18,165,85,852,60,110,70,60,60,110,36,84,4,True,False,False,False,45,70,20,medium,generation-i,grassland,normal,flying
seel,86,11,65,86,900,65,45,55,45,70,45,37,,4,False,False,False,False,190,70,20,medium,generation-i,sea,water,
dewgong,87,17,166,87,1200,90,70,80,70,95,70,37,86,4,False,False,False,False,75,70,20,medium,generation-i,sea,water,ice
grimer,88,9,65,88,300,80,80,50,40,50,25,38,,4,False,False,False,False,190,70,20,medium,generation-i,urban,poison,
muk,89,12,175,89,300,105,105,75,65,100,50,38,88,4,False,False,False,False,75,70,20,medium,generation-i,urban,poison,
shellder,90,3,61,90,40,30,65,100,45,25,40,39,,4,False,False,False,False,190,50,20,slow,generation-i,sea,water,
cloyster,91,15,184,91,1325,50,95,180,85,45,70,39,90,4,False,False,False,False,60,50,20,slow,generation-i,sea,water,ice
gastly,92,13,62,92,1,30,35,30,100,35,80,40,,4,False,False,False,False,190,50,20,medium-slow,generation-i,cave,ghost,poison
haunter,93,16,142,93,1,45,50,45,115,55,95,40,92,4,False,False,False,False,90,50,20,medium-slow,generation-i,cave,ghost,poison
gengar,94,15,250,94,405,60,65,60,130,75,110,40,93,4,False,False,False,False,45,50,20,medium-slow,generation-i,cave,ghost,poison
onix,95,88,77,95,2100,35,45,160,30,45,70,41,,4,False,False,False,False,45,50,25,medium,generation-i,cave,rock,ground
drowzee,96,10,66,96,324,60,48,45,43,90,42,42,,4,False,False,False,False,190,70,20,medium,generation-i,grassland,psychic,
hypno,97,16,169,97,756,85,73,70,73,115,67,42,96,4,True,False,False,False,75,70,20,medium,generation-i,grassland,psychic,
krabby,98,4,65,98,65,30,105,90,25,25,50,43,,4,False,False,False,False,225,50,20,medium,generation-i,waters-edge,water,
kingler,99,13,166,99,600,55,130,115,50,50,75,43,98,4,False,False,False,False,60,50,20,medium,generation-i,waters-edge,water,
voltorb,100,5,66,100,104,40,30,50,55,55,100,44,,-1,False,False,False,False,190,70,20,medium,generation-i,urban,electric,
electrode,101,12,172,101,666,60,50,70,80,80,150,44,100,-1,False,False,False,False,60,70,20,medium,generation-i,urban,electric,
exeggcute,102,4,65,102,25,60,40,80,60,45,40,45,,4,False,False,False,False,90,50,20,slow,generation-i,forest,grass,psychic
exeggutor,103,20,186,103,1200,95,95,85,125,75,55,45,102,4,False,False,False,False,45,50,20,slow,generation-i,forest,grass,psychic
cubone,104,4,64,104,65,50,50,95,40,50,35,46,,4,False,False,False,False,190,50,20,medium,generation-i,mountain,ground,
marowak,105,10,149,105,450,60,80,110,50,80,45,46,104,4,False,False,False,False,75,50,20,medium,generation-i,mountain,ground,
hitmonlee,106,15,159,106,498,50,120,53,35,110,87,47,236,0,False,False,False,False,45,50,25,medium,generation-i,urban,fighting,
hitmonchan,107,14,159,107,502,50,105,79,35,110,76,47,236,0,False,False,False,False,45,50,25,medium,generation-i,urban,fighting,
lickitung,108,12,77,108,655,90,55,75,60,75,30,48,,4,False,False,False,False,45,50,20,medium,generation-i,grassland,normal,
koffing,109,6,68,109,10,40,65,95,60,45,35,49,,4,False,False,False,False,190,50,20,medium,generation-i,urban,poison,
weezing,110,12,172,110,95,65,90,120,85,70,60,49,109,4,False,False,False,False,60,50,20,medium,generation-i,urban,poison,
rhyhorn,111,10,69,111,1150,80,85,95,30,30,25,50,,4,True,False,False,False,120,50,20,slow,generation-i,rough-terrain,ground,rock
rhydon,112,19,170,112,1200,105,130,120,45,45,40,50,111,4,True,False,False,False,60,50,20,slow,generation-i,rough-terrain,ground,rock
chansey,113,11,395,113,346,250,5,5,35,105,50,51,440,8,False,False,False,False,30,140,40,fast,generation-i,urban,normal,
tangela,114,10,87,114,350,65,55,115,100,40,60,52,,4,False,False,False,False,45,50,20,medium,generation-i,grassland,grass,
kangaskhan,115,22,172,115,800,105,95,80,40,80,90,53,,8,False,False,False,False,45,50,20,medium,generation-i,grassland,normal,
horsea,116,4,59,116,80,30,40,70,70,25,60,54,,4,False,False,False,False,225,50,20,medium,generation-i,sea,water,
seadra,117,12,154,117,250,55,65,95,95,45,85,54,116,4,False,False,False,False,75,50,20,medium,generation-i,sea,water,
goldeen,118,6,64,118,150,45,67,60,35,50,63,55,,4,True,False,False,False,225,50,20,medium,generation-i,waters-edge,water,
seaking,119,13,158,119,390,80,92,65,65,80,68,55,118,4,True,False,False,False,60,50,20,medium,generation-i,waters-edge,water,
staryu,120,8,68,120,345,30,45,55,70,55,85,56,,-1,False,False,False,False,225,50,20,slow,generation-i,sea,water,
starmie,121,11,182,121,800,60,75,85,100,85,115,56,120,-1,False,False,False,False,60,50,20,slow,generation-i,sea,water,psychic
mr-mime,122,13,161,122,545,40,45,65,100,120,90,57,439,4,False,False,False,False,45,50,25,medium,generation-i,urban,psychic,fairy
scyther,123,15,100,123,560,70,110,80,55,80,105,58,,4,True,False,False,False,45,50,25,medium,generation-i,grassland,bug,flying
jynx,124,14,159,124,406,65,50,35,115,95,95,59,238,8,False,False,False,False,45,50,25,medium,generation-i,urban,ice,psychic
electabuzz,125,11,172,125,300,65,83,57,95,85,105,60,239,2,False,False,False,False,45,50,25,medium,generation-i,grassland,electric,
magmar,126,13,173,126,445,65,95,57,100,85,93,61,240,2,False,False,False,False,45,50,25,medium,generation-i,mountain,fire,
pinsir,127,15,175,127,550,65,125,100,55,70,85,62,,4,False,False,False,False,45,50,25,slow,generation-i,forest,bug,
tauros,128,14,172,128,884,75,100,95,40,70,110,63,,0,False,False,False,False,45,50,20,slow,generation-i,grassland,normal,
magikarp,129,9,40,129,100,20,10,55,15,20,80,64,,4,True,False,False,False,255,50,5,slow,generation-i,waters-edge,water,
gyarados,130,65,189,130,2350,95,125,79,60,100,81,64,129,4,True,False,False,False,45,50,5,slow,generation-i,waters-edge,water,flying
lapras,131,25,187,131,2200,130,85,80,85,95,60,65,,4,False,False,False,False,45,50,40,slow,generation-i,sea,water,ice
ditto,132,3,101,132,40,48,48,48,48,48,48,66,,-1,False,False,False,False,35,50,20,medium,generation-i,urban,normal,
eevee,133,3,65,133,65,55,55,50,45,65,55,67,,1,False,False,False,False,45,50,35,medium,generation-i,urban,normal,
vaporeon,134,10,184,134,290,130,65,60,110,95,65,67,133,1,False,False,False,False,45,50,35,medium,generation-i,urban,water,
jolteon,135,8,184,135,245,65,65,60,110,95,130,67,133,1,False,False,False,False,45,50,35,medium,generation-i,urban,electric,
flareon,136,9,184,136,250,65,130,60,95,110,65,67,133,1,False,False,False,False,45,50,35,medium,generation-i,urban,fire,
porygon,137,8,79,137,365,65,60,70,85,75,40,68,,-1,False,False,False,False,45,50,20,medium,generation-i,urban,normal,
omanyte,138,4,71,138,75,35,40,100,90,55,35,69,,1,False,False,False,False,45,50,30,medium,generation-i,sea,rock,water
omastar,139,10,173,139,350,70,60,125,115,70,55,69,138,1,False,False,False,False,45,50,30,medium,generation-i,sea,rock,water
kabuto,140,5,71,140,115,30,80,90,55,45,55,70,,1,False,False,False,False,45,50,30,medium,generation-i,sea,rock,water
kabutops,141,13,173,141,405,60,115,105,65,70,80,70,140,1,False,False,False,False,45,50,30,medium,generation-i,sea,rock,water
aerodactyl,142,18,180,142,590,80,105,65,60,75,130,71,,1,False,False,False,False,45,50,35,slow,generation-i,mountain,rock,flying
snorlax,143,21,189,143,4600,160,110,65,65,110,30,72,446,1,False,False,False,False,25,50,40,slow,generation-i,mountain,normal,
articuno,144,17,290,144,554,90,85,100,95,125,85,73,,-1,False,False,True,False,3,35,80,slow,generation-i,rare,ice,flying
zapdos,145,16,290,145,526,90,90,85,125,90,100,74,,-1,False,False,True,False,3,35,80,slow,generation-i,rare,electric,flying
moltres,146,20,290,146,600,90,100,90,125,85,90,75,,-1,False,False,True,False,3,35,80,slow,generation-i,rare,fire,flying
dratini,147,18,60,147,33,41,64,45,50,50,50,76,,4,False,False,False,False,45,35,40,slow,generation-i,waters-edge,dragon,
dragonair,148,40,147,148,165,61,84,65,70,70,70,76,147,4,False,False,False,False,45,35,40,slow,generation-i,waters-edge,dragon,
dragonite,149,22,300,149,2100,91,134,95,100,100,80,76,148,4,False,False,False,False,45,35,40,slow,generation-i,waters-edge,dragon,flying
mewtwo,150,20,340,150,1220,106,110,90,154,90,130,77,,-1,False,False,True,False,3,0,120,slow,generation-i,rare,psychic,
mew,151,4,300,151,40,100,100,100,100,100,100,78,,-1,False,False,False,True,45,100,120,medium-slow,generation-i,rare,psychic,
chikorita,152,9,64,152,64,45,49,65,49,65,45,79,,1,False,False,False,False,45,70,20,medium-slow,generation-ii,grassland,grass,
bayleef,153,12,142,153,158,60,62,80,63,80,60,79,152,1,False,False,False,False,45,70,20,medium-slow,generation-ii,grassland,grass,
meganium,154,18,236,154,1005,80,82,100,83,100,80,79,153,1,True,False,False,False,45,70,20,medium-slow,generation-ii,grassland,grass,
cyndaquil,155,5,62,155,79,39,52,43,60,50,65,80,,1,False,False,False,False,45,70,20,medium-slow,generation-ii,grassland,fire,
quilava,156,9,142,156,190,58,64,58,80,65,80,80,155,1,False,False,False,False,45,70,20,medium-slow,generation-ii,grassland,fire,
typhlosion,157,17,240,157,795,78,84,78,109,85,100,80,156,1,False,False,False,False,45,70,20,medium-slow,generation-ii,grassland,fire,
totodile,158,6,63,158,95,50,65,64,44,48,43,81,,1,False,False,False,False,45,70,20,medium-slow,generation-ii,waters-edge,water,
croconaw,159,11,142,159,250,65,80,80,59,63,58,81,158,1,False,False,False,False,45,70,20,medium-slow,generation-ii,waters-edge,water,
feraligatr,160,23,239,160,888,85,105,100,79,83,78,81,159,1,False,False,False,False,45,70,20,medium-slow,generation-ii,waters-edge,water,
sentret,161,8,43,161,60,35,46,34,35,45,20,82,,4,False,False,False,False,255,70,15,medium,generation-ii,grassland,normal,
furret,162,18,145,162,325,85,76,64,45,55,90,82,161,4,False,False,False,False,90,70,15,medium,generation-ii,grassland,normal,
hoothoot,163,7,52,163,212,60,30,30,36,56,50,83,,4,False,False,False,False,255,50,15,medium,generation-ii,forest,normal,flying
noctowl,164,16,158,164,408,100,50,50,86,96,70,83,163,4,False,False,False,False,90,50,15,medium,generation-ii,forest,normal,flying
ledyba,165,10,53,165,108,40,20,30,40,80,55,84,,4,True,False,False,False,255,70,15,fast,generation-ii,forest,bug,flying
ledian,166,14,137,166,356,55,35,50,55,110,85,84,165,4,True,False,False,False,90,70,15,fast,generation-ii,forest,bug,flying
spinarak,167,5,50,167,85,40,60,40,40,40,30,85,,4,False,False,False,False,255,70,15,fast,generation-ii,forest,bug,poison
ariados,168,11,140,168,335,70,90,70,60,70,40,85,167,4,False,False,False,False,90,70,15,fast,generation-ii,forest,bug,poison
crobat,169,18,268,169,750,85,90,80,70,80,130,17,42,4,False,False,False,False,90,50,15,medium,generation-ii,cave,poison,flying
chinchou,170,5,66,170,120,75,38,38,56,56,67,86,,4,False,False,False,False,190,50,20,slow,generation-ii,sea,water,electric
lanturn,171,12,161,171,225,125,58,58,76,76,67,86,170,4,False,False,False,False,75,50,20,slow,generation-ii,sea,water,electric
pichu,172,3,41,172,20,20,40,15,35,35,60,10,,4,False,True,False,False,190,50,10,medium,generation-ii,forest,electric,
cleffa,173,3,44,173,30,50,25,28,45,55,15,14,,6,False,True,False,False,150,140,10,fast,generation-ii,mountain,fairy,
igglybuff,174,3,42,174,10,90,30,15,40,20,15,16,,6,False,True,False,False,170,50,10,fast,generation-ii,grassland,normal,fairy
togepi,175,3,49,175,15,35,20,65,40,65,20,87,,1,False,True,False,False,190,50,10,fast,generation-ii,forest,fairy,
togetic,176,6,142,176,32,55,40,85,80,105,40,87,175,1,False,False,False,False,75,50,10,fast,generation-ii,forest,fairy,flying
natu,177,2,64,177,20,40,50,45,70,45,70,88,,4,False,False,False,False,190,50,20,medium,generation-ii,forest,psychic,flying
xatu,178,15,165,178,150,65,75,70,95,70,95,88,177,4,True,False,False,False,75,50,20,medium,generation-ii,forest,psychic,flying
mareep,179,6,56,179,78,55,40,40,65,45,35,89,,4,False,False,False,False,235,70,20,medium-slow,generation-ii,grassland,electric,
flaaffy,180,8,128,180,133,70,55,55,80,60,45,89,179,4,False,False,False,False,120,70,20,medium-slow,generation-ii,grassland,electric,
ampharos,181,14,230,181,615,90,75,85,115,90,55,89,180,4,False,False,False,False,45,70,20,medium-slow,generation-ii,grassland,electric,
bellossom,182,4,245,182,58,75,80,95,90,100,50,18,44,4,False,False,False,False,45,50,20,medium-slow,generation-ii,grassland,grass,
marill,183,4,88,183,85,70,20,50,20,50,40,90,298,4,False,False,False,False,190,50,10,fast,generation-ii,waters-edge,water,fairy
azumarill,184,8,210,184,285,100,50,80,60,80,50,90,183,4,False,False,False,False,75,50,10,fast,generation-ii,waters-edge,water,fairy
sudowoodo,185,12,144,185,380,70,100,115,30,65,30,91,438,4,True,False,False,False,65,50,20,medium,generation-ii,forest,rock,
politoed,186,11,250,186,339,90,75,75,90,100,70,26,61,4,True,False,False,False,45,50,20,medium-slow,generation-ii,waters-edge,water,
hoppip,187,4,50,187,5,35,35,40,35,55,50,92,,4,False,False,False,False,255,70,20,medium-slow,generation-ii,grassland,grass,flying
skiploom,188,6,119,188,10,55,45,50,45,65,80,92,187,4,False,False,False,False,120,70,20,medium-slow,generation-ii,grassland,grass,flying
jumpluff,189,8,207,189,30,75,55,70,55,95,110,92,188,4,False,False,False,False,45,70,20,medium-slow,generation-ii,grassland,grass,flying
aipom,190,8,72,190,115,55,70,55,40,55,85,93,,4,True,False,False,False,45,70,20,fast,generation-ii,forest,normal,
sunkern,191,3,36,191,18,30,30,30,30,30,30,94,,4,False,False,False,False,235,70,20,medium-slow,generation-ii,grassland,grass,
sunflora,192,8,149,192,85,75,75,55,105,85,30,94,191,4,False,False,False,False,120,70,20,medium-slow,generation-ii,grassland,grass,
yanma,193,12,78,193,380,65,65,45,75,45,95,95,,4,False,False,False,False,75,70,20,medium,generation-ii,forest,bug,flying
wooper,194,4,42,194,85,55,45,45,25,25,15,96,,4,True,False,False,False,255,50,20,medium,generation-ii,waters-edge,water,ground
quagsire,195,14,151,195,750,95,85,85,65,65,35,96,194,4,True,False,False,False,90,50,20,medium,generation-ii,waters-edge,water,ground
espeon,196,9,184,196,265,65,65,60,130,95,110,67,133,1,False,False,False,False,45,50,35,medium,generation-ii,urban,psychic,
umbreon,197,10,184,197,270,95,65,110,60,130,65,67,133,1,False,False,False,False,45,35,35,medium,generation-ii,urban,dark,
murkrow,198,5,81,198,21,60,85,42,85,42,91,97,,4,True,False,False,False,30,35,20,medium-slow,generation-ii,forest,dark,flying
slowking,199,20,172,199,795,95,75,80,100,110,30,33,79,4,False,False,False,False,70,50,20,medium,generation-ii,waters-edge,water,psychic
misdreavus,200,7,87,200,10,60,60,60,85,85,85,98,,4,False,False,False,False,45,35,25,fast,generation-ii,cave,ghost,
unown,201,5,118,201,50,48,72,48,72,48,48,99,,-1,False,False,False,False,225,70,40,medium,generation-ii,rare,psychic,
wobbuffet,202,13,142,202,285,190,33,58,33,58,33,100,360,4,True,False,False,False,45,50,20,medium,generation-ii,cave,psychic,
girafarig,203,15,159,203,415,70,80,65,90,65,85,101,,4,True,False,False,False,60,70,20,medium,generation-ii,grassland,normal,psychic
pineco,204,6,58,204,72,50,65,90,35,35,15,102,,4,False,False,False,False,190,70,20,medium,generation-ii,forest,bug,
forretress,205,12,163,205,1258,75,90,140,60,60,40,102,204,4,False,False,False,False,75,70,20,medium,generation-ii,forest,bug,steel
dunsparce,206,15,145,206,140,100,70,70,65,65,45,103,,4,False,False,False,False,190,50,20,medium,generation-ii,cave,normal,
gligar,207,11,86,207,648,65,75,105,35,65,85,104,,4,True,False,False,False,60,70,20,medium-slow,generation-ii,mountain,ground,flying
steelix,208,92,179,208,4000,75,85,200,55,65,30,41,95,4,True,False,False,False,25,50,25,medium,generation-ii,cave,steel,ground
snubbull,209,6,60,209,78,60,80,50,40,40,30,105,,6,False,False,False,False,190,70,20,fast,generation-ii,urban,fairy,
granbull,210,14,158,210,487,90,120,75,60,60,45,105,209,6,False,False,False,False,75,70,20,fast,generation-ii,urban,fairy,
qwilfish,211,5,88,211,39,65,95,85,55,55,85,106,,4,False,False,False,False,45,50,20,medium,generation-ii,sea,water,poison
scizor,212,18,175,212,1180,70,130,100,55,80,65,58,123,4,True,False,False,False,25,50,25,medium,generation-ii,grassland,bug,steel
